Ticker,Nombre completo,Sector,Industria
AGUAS-A,Aguas Andinas,Utilities,Utilities - Regulated Water
ANDINA-B,Embotelladora Andina,Consumer Defensive,Beverages - Non-Alcoholic
CAP,CAP,Basic Materials,Steel
CCU,Compañía Cervecerías Unidas,Consumer Defensive,Beverages - Brewers
CENCOSUD,Cencosud,Consumer Cyclical,Department Stores
CMPC,Empresas CMPC,Basic Materials,Paper & Paper Products
COLBUN,Colbún,Utilities,Utilities - Regulated Electric
CONCHATORO,Viña Concha y Toro,Consumer Defensive,Beverages - Wineries & Distilleries
COPEC,Empresas Copec,Industrials,Conglomerates
ENELAM,Enel Américas,Utilities,Utilities - Regulated Electric
ENELCHILE,Enel Chile,Utilities,Utilities - Regulated Electric
ENTEL,Empresa Nacional de Telecomunicaciones,Communication Services,Telecom Services
FALABELLA,Falabella,Consumer Cyclical,Department Stores
IAM,Inversiones Aguas Metropolitanas,Utilities,Utilities - Regulated Water
LTM,LATAM Airlines Group,Industrials,Airlines
MALLPLAZA,Plaza,Real Estate,Real Estate Services
PARAUCO,Parque Arauco,Real Estate,Real Estate - Diversified
QUINENCO,Quiñenco,Energy,Oil & Gas Refining & Marketing
RIPLEY,Ripley Corp,Consumer Cyclical,Department Stores
SMU,SMU,Consumer Cyclical,Department Stores
SQM-B,Sociedad Química y Minera de Chile,Basic Materials,Specialty Chemicals
VAPORES,Compañía Sud Americana de Vapores,Industrials,Marine Shipping
ABC,abc,Consumer Cyclical,Department Stores
AESANDES,AES Andes,No disponible,No disponible
ALMENDRAL,Almendral,Communication Services,Telecom Services
AQUACHILE,Empresas AquaChile,No disponible,No disponible
BANVIDA,Banvida,Financial Services,Insurance Brokers
BESALCO,Besalco,Industrials,Engineering & Construction
BICECORP,Bicecorp,Financial Services,Financial Conglomerates
BLUMAR,Blumar,Consumer Defensive,Farm Products
BOLSASTGO,"Bolsa de Comercio de Santiago, Bolsa de Valores",No disponible,No disponible
CAMANCHACA,Camanchaca,Consumer Defensive,Farm Products
CAMPOS,Sociedad de Inversiones Campos Chilenos,Consumer Defensive,Farm Products
CAROZZI,Carozzi,Consumer Defensive,Packaged Foods
CASABLANCA,Energía de Casablanca,Utilities,Utilities - Regulated Electric
CEMENTOS,Cementos Bio Bio,Basic Materials,Building Materials
CGE,Compañía General de Electricidad,Utilities,Utilities - Diversified
CIC,Companias CIC,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CINTAC,Cintac,Basic Materials,Steel
COPEVAL,Compañía Agropecuaria Copeval,No disponible,No disponible
COVADONGA,Inversiones Covadonga,No disponible,No disponible
CRUZADOS,Cruzados SADP,Communication Services,Entertainment
CUPRUM,Administradora de Fondos de Pensiones Cuprum,Financial Services,Asset Management
EDELMAG,Empresa Eléctrica de Magallanes,Utilities,Utilities - Regulated Electric
ELECMETAL,Compañía Electro Metalúrgica,Basic Materials,Steel
EMBONOR-B,Coca-Cola Embonor,Consumer Defensive,Beverages - Non-Alcoholic
EMILIANA,Viñedos Emiliana,Consumer Defensive,Beverages - Wineries & Distilleries
ENAEX,Enaex,Basic Materials,Specialty Chemicals
